ref_line	ref_widx	lemma	n_readings	apparatus	omit
452	2536	τοιούσδʼ	3	τοιούσδ᾽ [dawe,jebb,pearson,storr]  |  οὐ [colonna,dain]  |  οἳ [hermann,reinhardt]	
452	2539	ὥρισεν	2	ὥρισαν [colonna,dain,hermann,reinhardt]  |  ὥρισεν [dawe,jebb,pearson,storr]	
456	2561	γε	2	γε [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  τε [hermann]	
460	2588	ἐξῄδη,	2	ἐξῄδη, [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  ἐξῄδη—τί [dain]	
467	2638	ἠνσχόμην	3	ἠνσχόμην [colonna,dain,jebb,pearson,reinhardt,storr]  |  ἠισχόμην [dawe]  |  ἐσχόμην [hermann]	
471	2662	γέννημʼ	3	γέννημ᾽ [colonna,dain,hermann,jebb,reinhardt,storr]  |  μὲν [dawe]  |  γοῦν [pearson]	
485	2747	ἀνατὶ	2	ἀνατὶ [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  ἀνατεὶ [pearson]	
500	2841	ἀρεσθείη	2	ἀρεσθείη [dain,dawe,jebb,pearson,reinhardt,storr]  |  ἀρεσθείην [colonna,hermann]	
502	2850	καίτοι	2	καίτοι [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  καί [hermann]	
505	2872	ἐγκλῄοι	3	ἐγκλήιοι [dawe,jebb,pearson,reinhardt,storr]  |  ἐγκλῄσοι [colonna,dain]  |  ἐγκλείσοι [hermann]	
509	2898	ὑπίλλουσιν	2	ὑπίλλουσι [colonna,dain,dawe,hermann,pearson]  |  ὑπίλλουσιν [jebb,reinhardt,storr]	
510	2903	ἐπαιδεῖ,	2	ἐπαιδῇ, [colonna,dain,dawe,pearson,reinhardt]  |  ἐπαιδεῖ, [hermann,jebb,storr]	
516	2945	δυσσεβεῖ.	2	δυσσεβεῖ. [dain,dawe,hermann,jebb,pearson,reinhardt,storr]  |  δυσμενεῖ. [colonna]	
518	2954	δὲ	2	δὲ [colonna,dain,jebb,pearson,reinhardt,storr]  |  γε [dawe,hermann]	
518	2959	ἀντιστὰς	2	ἀντιστὰς [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἀνιστὰς [hermann]	
519	2967	τούτους	2	τούτους [colonna,dain,dawe,hermann,jebb,storr]  |  ἴσους [pearson,reinhardt]	
520	2976	ἴσος.	4	ἴσος. [colonna,dain,hermann,storr]  |  ἴσον. [dawe,pearson]  |  ἴσους. [jebb]  |  ἴσα. [reinhardt]	
521	2980	κάτωθεν	2	κάτωθεν [hermann,jebb,pearson,reinhardt,storr]  |  κάτω [colonna,dain,dawe]	
535	3058	ʼξομεῖ	2	᾿ξομῇ [colonna,dain,dawe,pearson,reinhardt]  |  ᾿ξομεῖ [hermann,jebb,storr]	
536	3066	ὁμορροθεῖ	2	ὁμορροθεῖ, [colonna,dain,hermann,jebb,pearson,storr]  |  ὁμορροθῶ, [dawe,reinhardt]	
547	3139	θνῄσκουσʼ	2	θνῄσκουσ᾽ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  θνήσκουσ᾽ [hermann]	
