# work: tlg0011.tlg007
# base (canonical axis): perseus-grc2
# target: campbell1879-grc1
# generated: 2026-09-02  method: exact anchors plus local sequence alignment
base	target	type	score	review
510	510	exact	1.000	
511	511	exact	1.000	
512	512	exact	1.000	
513	513	exact	1.000	
514	514	exact	1.000	
515	515	exact	1.000	
516	516	exact	1.000	
517	517	exact	1.000	
518	518	match	0.964	
519	519	exact	1.000	
519a	519a	exact	1.000	
519b	519b	exact	1.000	
520	520	exact	1.000	
521	521	match	0.868	
522	522	match	0.615	
523	523	exact	1.000	
524	524	exact	1.000	
525	525	match	0.960	
526	526	exact	1.000	
527	527	exact	1.000	
528	528	exact	1.000	
529	529	exact	1.000	
530	530	exact	1.000	
531	531	exact	1.000	
532	532	exact	1.000	
533	532a	exact	1.000	
534	533	exact	1.000	
535	534	match	0.939	
536	535	exact	1.000	
537	536	exact	1.000	
537a	536a	exact	1.000	
538	537	exact	1.000	
538a	537a	exact	1.000	
539	538	exact	1.000	
539a	538a	exact	1.000	
539b	538b	exact	1.000	
539c	538c	exact	1.000	
540	540	exact	1.000	
541	541	match	0.980	
542	542	exact	1.000	
543	543	exact	1.000	
544	544	exact	1.000	
544a	544a	exact	1.000	
545	545	exact	1.000	
545a	545a	exact	1.000	
546	546	exact	1.000	
546a	546a	exact	1.000	
546b	546b	exact	1.000	
546c	546d	exact	1.000	
547	547	match	0.807	
548	548	match	0.984	
549	549	exact	1.000	
550	550	match	0.857	
551	551	exact	1.000	
552	552	exact	1.000	
553	553	exact	1.000	
554	554	exact	1.000	
555	555	exact	1.000	
556	556	exact	1.000	
557	557	match	0.984	
558	558	exact	1.000	
559	559	exact	1.000	
560	560	exact	1.000	
561	561	exact	1.000	
562	562	match	0.915	
563	563	match	0.969	
564	564	exact	1.000	
565	565	match	0.985	
566	566	exact	1.000	
567	567	match	0.982	
568	568	exact	1.000	
569	569	exact	1.000	
570	570	match	0.955	
571	571	exact	1.000	
572	572	exact	1.000	
573	573	exact	1.000	
574	574	match	0.929	
575	575	exact	1.000	
576	576	exact	1.000	
577	577	exact	1.000	
578	578	exact	1.000	
579	579	exact	1.000	
580	580	exact	1.000	
581	581	exact	1.000	
582	582	match	0.966	
583	583	match	0.938	
584	584	match	0.982	
585	585	exact	1.000	
586	586	exact	1.000	
587	587	exact	1.000	
588	588	match	0.938	
589	589	match	0.892	
590	590	match	0.971	
591	591	exact	1.000	
592	592	exact	1.000	
593	593	exact	1.000	
594	594	exact	1.000	
595	595	exact	1.000	
596	596	exact	1.000	
597	597	exact	1.000	
598	598	exact	1.000	
599	599	exact	1.000	
600	600	exact	1.000	
601	601	exact	1.000	
602	602	exact	1.000	
603	603	exact	1.000	
604	604	exact	1.000	
605	605	exact	1.000	
606	606	exact	1.000	
607	607	exact	1.000	
608	608	exact	1.000	
609	609	exact	1.000	
610	610	exact	1.000	
611	611	exact	1.000	
612	612	exact	1.000	
613	613	exact	1.000	
614	614	exact	1.000	
615	615	exact	1.000	
616	616	exact	1.000	
617	617	match	0.962	
618	618	exact	1.000	
619	619	exact	1.000	
620	620	exact	1.000	
621	621	exact	1.000	
622	622	exact	1.000	
623	623	exact	1.000	
624	624	exact	1.000	
625	625	exact	1.000	
626	626	exact	1.000	
627	627	exact	1.000	
628	628	exact	1.000	
629	629	exact	1.000	
630	630	exact	1.000	
631	631	exact	1.000	
632	632	match	0.949	
633	633	exact	1.000	
634	634	exact	1.000	
635	635	exact	1.000	
636	636	exact	1.000	
637	637	match	0.966	
638	638	exact	1.000	
