ref_line	ref_widx	lemma	n_readings	apparatus	omit
134	747	ἀντιτύπᾳ	3	ἀντιτύπᾳ [benloew,brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  ἀντίτυπα [boeckh,hermann]  |  ἀντιτύπῳ [bothe]	
138	766	ἄλλᾳ	2	ἄλλᾳ [benloew,boeckh,bothe,brown,colonna,dain,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  †ἄλλα [dawe]	
138	767	τὰ	2	τὰ [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  τάδ᾿· [lj]	
138	768	μέν,	4	μὲν, [benloew,boeckh,bothe,colonna,dain,griffith,jebb,pearson,reinhardt,storr]  |  τοῦδ᾽, [brown]  |  δ᾽ [dawe]  |  ἀλλ᾿ [lj]	hermann
139	769	ἄλλα	3	ἄλλα [benloew,boeckh,brown,colonna,dain,dawe,griffith,jebb,pearson,reinhardt,storr]  |  τὰ [bothe]  |  ἄλλ᾿ [lj]	hermann
139	773	ἐπενώμα	2	ἐπενώμα [benloew,boeckh,bothe,colonna,dain,hermann,jebb,lj,reinhardt,storr]  |  ἐπενώ- [brown,griffith,pearson]	
139	774	στυφελίζων	2	στυφελίζων [benloew,boeckh,bothe,brown,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  στυφελί- [colonna,dain]	
139	776	Ἄρης	2	Ἄρης [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  Ἄ- [lj]	
140	777	δεξιόσειρος.	2	δεξιόσειρος [benloew,boeckh,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  δεξιόχειρος· [bothe,brown]	
150	823	ἐκ	2	ἐκ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἐν [bothe]	
151	829	θέσθαι	2	θέσθαι [bothe,brown,colonna,dain,dawe,griffith,jebb,pearson,storr]  |  θέσθε [benloew,boeckh,hermann,lj,reinhardt]	
153	835	παννυχίοις	3	παννυχίοις [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  νυχίοις [bothe]  |  παννύχοις [lj]	
153	837	ἐπέλθωμεν,	2	ἐπέλθωμεν· [benloew,boeckh,bothe,colonna,dain,hermann,jebb,reinhardt,storr]  |  ἐπέλ- [brown,dawe,griffith,lj,pearson]	
153	839	Θήβας	2	Θήβας [benloew,boeckh,bothe,brown,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  Θή- [colonna,dain]	
153	841	ἐλελίχθων	3	ἐλελίχθων [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  ἐλελίζων [bothe]  |  ἐλελί- [lj]	
156	850	Κρέων	2	Κρέων [boeckh,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  παῖς [brown]	benloew,bothe
