# work: tlg0011.tlg002
# base (canonical axis): perseus-grc2
# target: bothe1806-grc1
# generated: 2026-08-30  method: exact anchors plus local sequence alignment
base	target	type	score	review
673	664	match	0.967	
674	665	exact	1.000	
675	666	match	0.985	
676	667	match	0.982	
677	668	match	0.984	
678	669	exact	1.000	
679	670	exact	1.000	
680	671	match	0.984	
681	672	exact	1.000	
682	673	exact	1.000	
683	674	exact	1.000	
684	675	match	0.915	
685	676	match	0.982	
686	677	match	0.970	
687	678	exact	1.000	
688	679	match	0.871	
689	680	exact	1.000	
690	681	exact	1.000	
691	682	exact	1.000	
692	683	match	0.966	
693	684	match	0.983	
694	685	exact	1.000	
695	686	match	0.969	
696	687	exact	1.000	
697	688	match	0.952	
698	689	match	0.947	
699	690	exact	1.000	
700	691	match	0.966	
701	692	exact	1.000	
702	693	exact	1.000	
703	694	match	0.986	
704	695	exact	1.000	
705	696	exact	1.000	
706	697	match	0.935	
707	698	exact	1.000	
708	699	exact	1.000	
709	700	match	0.984	
710	701	match	0.921	
711	702	match	0.986	
712	703	exact	1.000	
713	704	exact	1.000	
714	705	match	0.955	
715	706	match	0.982	
716	707	exact	1.000	
717	708	exact	1.000	
718	709	match	0.833	
719	710	match	0.982	
720	711	match	0.984	
721	712	match	0.984	
722	713	match	0.985	
723	714	exact	1.000	
724	715	match	0.982	
725	716	match	0.939	
726	717	exact	1.000	
727	718	match	0.925	
728	719	match	0.981	
729	720	exact	1.000	
730	721	exact	1.000	
731	722	match	0.958	
732	723	match	0.982	
733	724	match	0.982	
734	725	exact	1.000	
735	726	match	0.943	
736	727	match	0.939	
737	728	match	0.969	
738	729	exact	1.000	
739	730	match	0.951	
740	731	match	0.943	
741	732	exact	1.000	
742	733	match	0.963	
743	734	match	0.964	
744	735	exact	1.000	
745	736	exact	1.000	
746	737	exact	1.000	
747	738	match	0.949	
748	739	exact	1.000	
749	740	exact	1.000	
750	741	match	0.969	
751	742	match	0.968	
752	743	match	0.964	
753	744	match	0.971	
754	745	exact	1.000	
755	746	match	0.970	
756	747	exact	1.000	
757	748	exact	1.000	
758	749	match	0.949	
759	750	exact	1.000	
760	751	match	0.897	
761	752	exact	1.000	
762	753	match	0.982	
763	754	match	0.947	
764	755	match	0.985	
765	756	match	0.825	
766	757	match	0.963	
767	758	match	0.800	
768	759	match	0.968	
769	760	match	0.903	
770	761	match	0.967	
771	762	exact	1.000	
772	763	exact	1.000	
773	764	match	0.982	
774	765	exact	1.000	
775	766	match	0.906	
776	767	match	0.981	
777	768	exact	1.000	
778	769	exact	1.000	
779	770	match	0.982	
780	771	exact	1.000	
781	772,773	split_merge	0.947	
782	774,775	split_merge	1.000	
785	776,777	split_merge	0.974	
786	778	match	0.966	
790	779,780	split_merge	0.899	
791	781,782	split_merge	1.000	
792	783,784	split_merge	1.000	
795	785,786	split_merge	0.986	
796	787	exact	1.000	
800	788,789	split_merge	1.000	
801	790	match	0.955	
802	791	match	0.939	
803	792	match	0.980	
804	793	match	0.939	
805	794	match	0.978	
806	795,796	split_merge	0.974	
807	797,798	split_merge	0.930	
810	799	match	0.557	REVIEW
811	800	match	0.632	
812	801,802	split_merge	0.937	
815	803,804	split_merge	0.961	
817	805	match	0.963	
818	806	match	0.960	
819	807	match	0.980	
820	808	match	0.958	
821	809	match	0.957	
822	810	match	0.900	
823	811,812	split_merge	1.000	
825	813,814	split_merge	0.918	
826	815	match	0.600	
827	816	match	0.634	
830	817,818	split_merge	0.956	
831	819,820	split_merge	1.000	
834	821	exact	1.000	
835	822	exact	1.000	
836	823	match	0.875	
837	824	match	0.941	
838		base_only	0.000	REVIEW
839	825,826	split_merge	1.000	
840	827	match	0.679	
841	828,829	split_merge	0.838	
842	830	match	0.833	
845	831,832	split_merge	0.882	
846	833	match	0.857	
847	834,835	split_merge	0.932	
850	836,837	split_merge	0.725	
851	838	match	0.980	
853	839	match	0.957	
854	840	exact	1.000	
855	841	match	0.884	
856	842	match	0.939	
858	843,844	split_merge	1.000	
859	845	match	0.746	
860	846,847	split_merge	0.833	
861	848	match	0.857	
865	849,850	split_merge	0.867	
866	851	match	0.889	
867	852,853	split_merge	0.940	
870	854,855	split_merge	0.984	
871	856	match	0.979	
872	857	match	0.900	
873	858	match	0.977	
874	859	match	0.950	
875	860	match	0.955	
876	861,862	split_merge	0.951	
877	863	match	0.410	REVIEW
878	864	match	0.723	
880	865	exact	1.000	
881	866	match	0.833	
882	867	exact	1.000	
883	868	match	0.969	
884	869	match	0.970	
885	870	match	0.982	
886	871	match	0.982	
887	872	match	0.931	
888	873	match	0.951	
889	874	exact	1.000	
890	875	match	0.983	
891	876	exact	1.000	
892	877	match	0.982	
893	878	exact	1.000	
894	879	match	0.955	
895	880	match	0.982	
896	881	exact	1.000	
897	882	match	0.968	
898	883	exact	1.000	
899	884	exact	1.000	
900	885	exact	1.000	
901	886	exact	1.000	
902	887	exact	1.000	
903	888	match	0.984	
904	889	match	0.969	
905	890	match	0.968	
906	891	match	0.982	
907	892	match	0.982	
908	893	exact	1.000	
909	894	exact	1.000	
910	895	match	0.971	
911	896	match	0.986	
912	897	match	0.984	
913	898	match	0.966	
914	899	match	0.967	
915	900	exact	1.000	
916	901	exact	1.000	
917	902	exact	1.000	
918	903	exact	1.000	
919	904	match	0.967	
920	905	match	0.984	
921	906	exact	1.000	
922	907	match	0.966	
923	908	match	0.984	
924	909	match	0.984	
925	910	match	0.968	
926	911	exact	1.000	
927	912	match	0.966	
928	913	exact	1.000	
929	914	exact	1.000	
930	915	match	0.979	
931	916	match	0.898	
932	917	match	0.491	REVIEW
933	918	match	0.980	
934	919	exact	1.000	
935	920	exact	1.000	
936	921	exact	1.000	
937	922	exact	1.000	
938	923	exact	1.000	
939	924	exact	1.000	
940	925	exact	1.000	
941	926	match	0.941	
942	927	exact	1.000	
943	928	exact	1.000	
944	929	exact	1.000	
945	930	exact	1.000	
946	931,932	split_merge	0.987	
947	933	match	0.941	
950	934	exact	1.000	
951	935	match	0.982	
952	936	match	0.783	
953	937	exact	1.000	
955	938	match	0.982	
956	939	match	0.881	
957	940,941	split_merge	0.972	
958	942	match	0.926	
960	943	match	0.954	
961	944	match	0.952	
962	945	exact	1.000	
965	946	match	0.979	
966	947,948	split_merge	0.921	
967	949,950	split_merge	0.762	
970	951	match	0.698	
971	952	exact	1.000	
972	953	exact	1.000	
973	954	exact	1.000	
974	955	exact	1.000	
975	956	match	0.638	
976	957	match	0.868	
977	958,959	split_merge	1.000	
980	960,961	split_merge	0.986	
981	962	match	0.703	
982	963	match	0.968	
983	964	match	0.976	
984	965	match	0.939	
985	966	exact	1.000	
986	967	match	0.977	
987	968	exact	1.000	
988	969	exact	1.000	
989	970	match	0.984	
990	971	exact	1.000	
991	972	match	0.982	
992	973	exact	1.000	
